ID_CLIENTE,ES_EMPRESA,DNI_CUIT,CONTRASEÑA_CLIENTE,MAIL_CLIENTE
188,0,34558928,xrme4u,mgyrgorwicx57@psu.edu
189,0,17435757,k0chRBBSH,obownd58@xrea.com
190,0,13134155,M8UemKSSnh7g,bdimont59@sun.com
191,1,30331225494,WiFrI8SHvOs,fheckney5a@google.de
192,1,30552237477,rSNaqarDaZ,ameehan5b@webnode.com
193,0,32162742,w7KE84bhgWvI,bproschek5c@shareasale.com
194,0,42381418,6QFEz6RV,sreedyhough5d@4shared.com
195,0,28394433,EkNiKG,trissen5e@imageshack.us
196,0,15839377,ahLiPJC5z,aboyan5f@indiatimes.com
197,1,30375315877,rg34GPmuhjFH,kbirdis5g@so-net.ne.jp
198,1,30594353929,eQNdL1,khoonahan5h@alibaba.com
199,1,30321286266,LzexUTTt,igodlip5i@techcrunch.com
200,0,24822256,qefVRVJ0M0Z,kmeachen5j@google.com.au
